1;4371.3;4043.1;4212.3;4240;4516.9;4304.6;4016.9;4333.3;4544.1;4029.2;4456.4;4377.4;4463.6;4264.1
2;4359;4033.3;4205.1;4232.3;4508.2;4307.7;4016.4;4331.8;4538.5;4022.6;4451.3;4369.2;4452.8;4254.9
3;4357.4;4031.8;4204.6;4229.7;4502.6;4307.7;4011.3;4331.8;4539.5;4022.1;4446.7;4369.2;4451.3;4249.7
4;4362.6;4034.9;4206.7;4231.3;4506.7;4305.6;4011.8;4327.7;4535.9;4020;4445.1;4371.8;4453.8;4252.8
5;4361.5;4032.8;4204.6;4228.2;4509.7;4306.7;4013.8;4321;4531.3;4015.9;4447.2;4372.3;4451.3;4255.4
6;4360;4028.7;4202.1;4226.7;4504.6;4310.3;4011.8;4322.1;4539;4019;4445.1;4369.7;4448.2;4252.8
7;4362.1;4030.8;4205.6;4231.8;4503.1;4310.3;4011.3;4326.2;4544.6;4026.7;4443.1;4368.7;4450.3;4256.4
8;4361.5;4033.3;4209.2;4232.8;4510.8;4310.8;4012.8;4331.3;4540;4028.7;4450.8;4371.3;4456.9;4262.1
9;4354.9;4029.2;4206.7;4227.2;4511.8;4307.7;4007.7;4327.7;4534.9;4021.5;4452.8;4371.3;4455.9;4257.4
10;4354.9;4028.2;4206.2;4227.7;4508.7;4301.5;4002.1;4319;4533.8;4015.9;4444.1;4370.3;4448.2;4254.9
11;4366.2;4033.3;4210.3;4237.4;4511.3;4307.7;4006.2;4325.1;4536.4;4022.6;4448.2;4375.9;4456.4;4264.6
12;4370.8;4036.4;4210.8;4241.5;4519;4319;4014.4;4337.4;4539.5;4033.8;4459;4382.6;4467.7;4269.7
13;4364.6;4033.3;4204.6;4235.4;4522.6;4317.9;4015.9;4339.5;4541;4032.3;4454.9;4381.5;4461;4263.6
14;4364.1;4028.2;4202.6;4230.8;4514.9;4309.7;4012.3;4337.4;4542.6;4024.6;4448.2;4378.5;4454.4;4264.1
15;4370.8;4028.2;4208.7;4232.8;4508.7;4310.3;4011.3;4335.4;4542.6;4026.2;4451.8;4377.9;4461;4270.8
16;4373.8;4033.8;4214.9;4236.9;4520;4317.4;4014.9;4332.8;4539.5;4033.8;4455.9;4378.5;4467.2;4273.3
17;4376.9;4039.5;4217.4;4236.4;4528.7;4317.4;4015.4;4333.8;4540;4036.9;4456.9;4381.5;4470.8;4276.9
18;4382.1;4037.9;4216.4;4232.8;4521.5;4308.2;4012.3;4335.4;4542.6;4034.4;4456.4;4381;4473.3;4277.4
19;4387.7;4034.9;4215.9;4232.8;4517.4;4304.1;4012.8;4334.9;4543.6;4034.9;4452.3;4377.4;4468.2;4276.9
20;4391.3;4035.4;4215.4;4235.4;4524.6;4313.8;4018.5;4340.5;4544.6;4040.5;4448.7;4376.4;4463.6;4281.5
21;4391.8;4035.9;4215.4;4239;4529.2;4320.5;4021.5;4343.6;4544.6;4040.5;4451.8;4376.9;4463.6;4282.6
22;4389.2;4032.8;4216.9;4240;4524.1;4316.4;4015.9;4337.9;4543.1;4034.4;4454.9;4379.5;4459;4274.9
23;4382.6;4026.2;4214.4;4233.3;4513.3;4305.6;4006.7;4330.3;4537.4;4029.2;4450.3;4376.9;4452.3;4270.3
24;4377.9;4024.6;4212.8;4229.7;4511.3;4297.9;4004.1;4324.1;4527.2;4028.2;4442.6;4372.8;4450.8;4271.8
25;4385.6;4031.3;4222.6;4240;4518.5;4297.9;4005.6;4325.6;4523.1;4029.7;4447.2;4376.9;4457.4;4277.4
26;4395.4;4038.5;4235.9;4247.7;4526.2;4303.1;4008.7;4333.8;4530.8;4035.9;4459;4385.1;4471.3;4284.1
27;4393.8;4036.4;4235.9;4242.1;4524.6;4303.6;4013.8;4339;4536.9;4039;4462.6;4387.2;4476.4;4286.7
28;4388.2;4028.7;4228.7;4234.4;4520;4297.9;4017.9;4337.4;4537.4;4035.9;4460;4383.6;4468.7;4283.6
29;4392.3;4030.8;4228.2;4238.5;4524.6;4299.5;4014.9;4336.4;4536.4;4037.4;4463.1;4385.1;4464.6;4285.1
30;4399;4037.4;4231.3;4247.2;4528.7;4311.8;4012.3;4340;4533.8;4037.4;4462.6;4384.1;4463.6;4286.2
31;4397.4;4031.8;4233.3;4245.1;4525.6;4313.3;4016.4;4347.7;4539;4035.9;4457.4;4380.5;4461;4283.1
32;4391.3;4025.1;4238.5;4235.4;4521;4299;4014.4;4347.7;4542.6;4039;4457.9;4384.1;4461;4276.9
33;4394.9;4034.9;4244.6;4237.4;4525.6;4292.3;4009.2;4336.4;4530.8;4036.9;4460.5;4391.8;4464.1;4274.4
34;4399;4043.1;4241;4244.6;4533.3;4296.4;4008.2;4326.2;4518.5;4031.3;4456.4;4389.7;4463.1;4275.9
35;4387.2;4034.9;4231.8;4238.5;4533.8;4290.3;4005.6;4324.1;4519;4032.3;4448.7;4376.9;4459;4272.3
36;4378.5;4029.2;4227.2;4228.2;4529.2;4283.1;4004.6;4328.7;4521;4034.4;4447.7;4370.3;4457.4;4267.7
37;4387.2;4036.4;4226.7;4230.3;4525.6;4287.2;4008.7;4334.4;4520.5;4035.4;4456.4;4374.9;4463.6;4272.8
38;4393.8;4036.9;4229.7;4236.9;4524.6;4291.8;4009.7;4335.4;4524.1;4042.6;4464.1;4380;4470.8;4276.9
39;4388.2;4026.2;4230.8;4232.8;4523.6;4292.3;4011.3;4332.8;4524.6;4041.5;4456.9;4374.4;4463.1;4270.8
40;4377.9;4019;4227.2;4221;4520;4289.2;4015.4;4333.3;4518.5;4032.3;4444.6;4365.1;4448.7;4264.1
