ED_COUNTER,ED_AF3, ED_F7, ED_F3, ED_FC5, ED_T7,ED_P7, ED_O1, ED_O2, ED_P8, ED_T8, ED_FC6, ED_F4,ED_F8, ED_AF4,mix1,mix2
-4.781,"4,469.7435","4,153.3332","4,309.7435","4,193.8461","4,579.9999","4,175.8973","4,152.8204","4,367.1794","4,730.2563","4,346.6666","4,630.7691","4,460.5127","4,669.7435","4,367.6922",102.051,
-4.773,"4,459.9999","4,162.0512","4,297.4358","4,198.9743","4,577.9486","4,155.8973","4,135.3845","4,351.7948","4,705.6409","4,318.9743","4,612.8204","4,443.5896","4,651.7948","4,350.7691",109.231,
-4.766,"4,454.3589","4,153.8461","4,295.3845","4,199.4871","4,554.8717","4,138.4614","4,127.6922","4,349.2307","4,705.6409","4,310.7691","4,611.2819","4,437.9486","4,643.0768","4,343.5896",110.769,
-4.758,"4,463.5896","4,154.8717","4,303.5896","4,198.9743","4,546.1537","4,141.0255","4,136.4102","4,362.0512","4,724.1024","4,332.3076","4,619.4871","4,442.5640","4,649.7435","4,352.3076",111.282,
-4.750,"4,466.6666","4,158.4614","4,299.9999","4,199.9999","4,564.1025","4,154.3589","4,140.5127","4,360.5127","4,720.5127","4,342.0512","4,614.3589","4,438.4614","4,650.2563","4,353.3332",113.333,
-4.742,"4,471.2819","4,159.4871","4,301.5384","4,196.4102","4,587.1794","4,159.4871","4,138.9743","4,349.2307","4,714.3589","4,336.9230","4,618.9742","4,442.5640","4,652.8204","4,355.3845",115.897,
-4.734,"4,457.9486","4,142.5640","4,296.9230","4,194.8717","4,572.3076","4,138.4614","4,126.6666","4,336.9230","4,705.6409","4,318.4614","4,613.3332","4,432.3076","4,641.5383","4,342.5640",115.385,
-4.727,"4,458.4614","4,141.5384","4,298.9743","4,197.9486","4,553.3332","4,137.9486","4,129.2307","4,346.1537","4,707.6922","4,318.9743","4,610.2563","4,430.7691","4,641.5383","4,343.5896",114.872,
-4.719,"4,468.7178","4,151.7948","4,299.4871","4,202.0512","4,549.2307","4,141.0255","4,131.2820","4,345.6409","4,704.1024","4,318.4614","4,612.3076","4,438.4614","4,644.6153","4,354.8717",113.846,
-4.711,"4,465.1281","4,155.3845","4,294.3589","4,198.4614","4,557.4358","4,139.4871","4,124.1025","4,330.7691","4,697.9486","4,314.3589","4,612.8204","4,438.4614","4,643.0768","4,351.7948",113.333,
-4.703,"4,466.6666","4,159.9999","4,301.5384","4,193.8461","4,574.3589","4,153.3332","4,133.3332","4,345.1281","4,712.8204","4,342.0512","4,626.1537","4,446.1537","4,655.8973","4,356.9230",109.744,
-4.695,"4,462.0512","4,148.7178","4,297.9486","4,196.9230","4,557.9486","4,136.4102","4,131.7948","4,345.1281","4,705.6409","4,339.9999","4,622.5640","4,441.5384","4,645.1281","4,352.3076",109.744,
-4.688,"4,463.5896","4,148.7178","4,298.4614","4,197.4358","4,551.7948","4,125.6409","4,126.1537","4,334.8717","4,699.4871","4,321.5384","4,618.9742","4,441.0255","4,639.4871","4,353.3332",110.256,
-4.680,"4,469.2307","4,159.4871","4,304.1025","4,196.4102","4,566.1537","4,153.8461","4,131.2820","4,341.5384","4,706.1537","4,318.9743","4,620.5127","4,446.6666","4,649.7435","4,357.4358",111.795,
